Journal Title,ISSN,eISSN,Year,Volume,Issue,Page,DOI,PMCID,PMID,Manuscript Id,Release Date
Breast Cancer Res,1465-5411,1465-542X,2000,3,1,55,10.1186/bcr271,PMC13900,11250746,,live
Breast Cancer Res,1465-5411,1465-542X,2000,3,1,61,10.1186/bcr272,PMC13901,11250747,,live
Breast Cancer Res,1465-5411,1465-542X,2000,3,1,66,10.1186/bcr273,PMC13902,11250748,,live
Breast Cancer Res,1465-5411,1465-542X,1999,2,1,59,10.1186/bcr29,PMC13911,11056684,,live
Breast Cancer Res,1465-5411,1465-542X,1999,2,1,64,10.1186/bcr30,PMC13912,11400682,,live
Breast Cancer Res,1465-5411,1465-542X,1999,1,1,73,10.1186/bcr16,PMC13913,11056681,,live
Breast Cancer Res,1465-5411,1465-542X,1999,1,1,81,10.1186/bcr17,PMC13914,11056682,,live
Breast Cancer Res,1465-5411,1465-542X,1999,1,1,88,10.1186/bcr18,PMC13915,11056683,,live
Breast Cancer Res,1465-5411,1465-542X,2000,2,2,139,10.1186/bcr45,PMC13916,11056686,,live
Breast Cancer Res,1465-5411,1465-542X,2000,2,3,222,10.1186/bcr57,PMC13917,11056687,,live
Breast Cancer Res,1465-5411,1465-542X,2000,2,4,307,10.1186/bcr72,PMC13918,11056688,,live
Breast Cancer Res,1465-5411,1465-542X,2000,2,4,311,10.1186/bcr73,PMC13919,11056689,,live
Breast Cancer Res,1465-5411,1465-542X,2000,2,5,378,10.1186/bcr82,PMC13920,11056690,,live
Breast Cancer Res,1465-5411,1465-542X,2000,2,6,438,10.1186/bcr91,PMC13921,11056691,,live
Breast Cancer Res,1465-5411,1465-542X,2000,2,6,444,10.1186/bcr92,PMC13922,11056692,,live
Breast Cancer Res,1465-5411,1465-542X,2000,3,2,122,10.1186/bcr284,PMC13923,11250759,,live
Breast Cancer Res,1465-5411,1465-542X,2001,3,2,134,10.1186/bcr285,PMC13924,11250760,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,26,10.1073/pnas.011393898,PMC14538,11134511,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,31,10.1073/pnas.011404098,PMC14539,11134512,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,37,10.1073/pnas.011442198,PMC14540,11120885,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,42,10.1073/pnas.011408598,PMC14541,11120883,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,48,10.1073/pnas.240458597,PMC14542,11134536,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,1,54,10.1073/pnas.98.1.54,PMC14543,11136247,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,60,10.1073/pnas.011524698,PMC14544,11120889,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,63,10.1073/pnas.011535498,PMC14545,11134527,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,69,10.1073/pnas.011526698,PMC14546,11120890,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,75,10.1073/pnas.011311398,PMC14547,11134506,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,1,81,10.1073/pnas.98.1.81,PMC14548,11136248,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,87,10.1073/pnas.011405598,PMC14549,11134513,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,93,10.1073/pnas.011303698,PMC14550,11134505,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,99,10.1073/pnas.021537498,PMC14551,11134531,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,1,105,10.1073/pnas.98.1.105,PMC14552,11136249,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,113,10.1073/pnas.021537998,PMC14553,11134532,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,119,10.1073/pnas.011343298,PMC14554,11134507,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,125,10.1073/pnas.021541498,PMC14555,11134534,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,1,130,10.1073/pnas.98.1.130,PMC14556,11136250,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,136,10.1073/pnas.011528498,PMC14557,11134523,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,142,10.1073/pnas.011525198,PMC14558,11134521,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,1,148,10.1073/pnas.98.1.148,PMC14559,11136251,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,1,154,10.1073/pnas.98.1.154,PMC14560,11136252,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,160,10.1073/pnas.011393998,PMC14561,11120880,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,1,166,10.1073/pnas.98.1.166,PMC14562,11136253,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,1,171,10.1073/pnas.98.1.171,PMC14563,11136254,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,176,10.1073/pnas.011511298,PMC14564,11120887,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,1,182,10.1073/pnas.98.1.182,PMC14565,11136255,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,188,10.1073/pnas.250216797,PMC14566,11114173,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,194,10.1073/pnas.011522998,PMC14567,11134518,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,200,10.1073/pnas.011347998,PMC14568,11134508,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,1,206,10.1073/pnas.98.1.206,PMC14569,11136256,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,212,10.1073/pnas.011506098,PMC14570,11134515,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,218,10.1073/pnas.011520898,PMC14571,11134517,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,224,10.1073/pnas.011528898,PMC14572,11134524,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,229,10.1073/pnas.011530298,PMC14573,11134525,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,1,235,10.1073/pnas.98.1.235,PMC14574,11136257,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,241,10.1073/pnas.011397798,PMC14575,11120881,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,247,10.1073/pnas.011532898,PMC14576,11134526,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,1,253,10.1073/pnas.98.1.253,PMC14577,11136258,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,259,10.1073/pnas.011481398,PMC14578,11134514,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,265,10.1073/pnas.98.1.265,PMC14579,11120884,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,271,10.1073/pnas.011413198,PMC14580,11114161,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,277,10.1073/pnas.250489297,PMC14581,11134537,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,283,10.1073/pnas.011454198,PMC14582,11114163,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,289,10.1073/pnas.011265298,PMC14583,11134504,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,295,10.1073/pnas.011524298,PMC14584,11134520,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,301,10.1073/pnas.011518798,PMC14585,11134516,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,307,10.1073/pnas.011523698,PMC14586,11134519,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,313,10.1073/pnas.021381198,PMC14587,11134528,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,319,10.1073/pnas.011523098,PMC14588,11120888,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,325,10.1073/pnas.021519698,PMC14589,11134530,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,331,10.1073/pnas.021541098,PMC14590,11134533,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,337,10.1073/pnas.021445798,PMC14591,11120892,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,343,10.1073/pnas.011384898,PMC14592,11134510,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,349,10.1073/pnas.011306998,PMC14593,11120878,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,355,10.1073/pnas.011379598,PMC14594,11134509,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,361,10.1073/pnas.011508498,PMC14595,11120886,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,367,10.1073/pnas.011526398,PMC14596,11134522,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,1,373,10.1073/pnas.98.1.373,PMC14597,11114160,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,404,10.1073/pnas.021544898,PMC14598,11149952,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,410,10.1073/pnas.98.2.410,PMC14599,11209046,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,2,415,10.1073/pnas.031563798,PMC14600,11134535,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,421,10.1073/pnas.021337498,PMC14601,11136229,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,427,10.1073/pnas.98.2.427,PMC14602,11209047,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,432,10.1073/pnas.021547498,PMC14603,11149955,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,435,10.1073/pnas.98.2.435,PMC14604,11209048,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,441,10.1073/pnas.021555498,PMC14605,11149958,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,445,10.1073/pnas.98.2.445,PMC14606,11149954,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,451,10.1073/pnas.021552298,PMC14607,11149957,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,457,10.1073/pnas.98.2.457,PMC14608,11209049,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,462,10.1073/pnas.98.2.462,PMC14609,11209050,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,468,10.1073/pnas.021321798,PMC14610,11149943,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,473,10.1073/pnas.011417098,PMC14611,11149936,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,479,10.1073/pnas.98.2.479,PMC14612,11209051,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,485,10.1073/pnas.011477898,PMC14613,11149937,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,491,10.1073/pnas.98.2.491,PMC14614,11149946,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,497,10.1073/pnas.240461397,PMC14615,11136238,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,502,10.1073/pnas.98.2.502,PMC14616,11209052,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,507,10.1073/pnas.021488798,PMC14617,11149950,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,513,10.1073/pnas.021132398,PMC14618,11149939,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,519,10.1073/pnas.021350998,PMC14619,11136230,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,525,10.1073/pnas.021448998,PMC14620,11149947,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,531,10.1073/pnas.011537898,PMC14621,11149938,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,537,10.1073/pnas.98.2.537,PMC14622,11209053,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,543,10.1073/pnas.021545098,PMC14623,11149953,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,548,10.1073/pnas.98.2.548,PMC14624,11209054,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,553,10.1073/pnas.021478998,PMC14625,11149949,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,559,10.1073/pnas.98.2.559,PMC14626,11209055,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,565,10.1073/pnas.98.2.565,PMC14627,11209056,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,570,10.1073/pnas.021353598,PMC14628,11136231,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,575,10.1073/pnas.021544398,PMC14629,11136233,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,581,10.1073/pnas.021506298,PMC14630,11136232,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,585,10.1073/pnas.011358498,PMC14631,11149935,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,2,591,10.1073/pnas.011528698,PMC14632,11120891,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,597,10.1073/pnas.021550598,PMC14633,11136234,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,603,10.1073/pnas.98.2.603,PMC14634,11209057,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,609,10.1073/pnas.021288598,PMC14635,11149941,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,615,10.1073/pnas.021548898,PMC14636,11149956,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,620,10.1073/pnas.98.2.620,PMC14637,11209058,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,625,10.1073/pnas.021535398,PMC14638,11149951,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,629,10.1073/pnas.021386498,PMC14639,11149944,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,635,10.1073/pnas.230450097,PMC14640,11149963,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,641,10.1073/pnas.98.2.641,PMC14641,11209059,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,646,10.1073/pnas.98.2.646,PMC14642,11209060,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,652,10.1073/pnas.98.2.652,PMC14643,11209061,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,658,10.1073/pnas.021551798,PMC14644,11136236,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,664,10.1073/pnas.98.2.664,PMC14645,11209062,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,670,10.1073/pnas.98.2.670,PMC14646,11209063,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,676,10.1073/pnas.98.2.676,PMC14647,11209064,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,683,10.1073/pnas.98.2.683,PMC14648,11209065,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,688,10.1073/pnas.98.2.688,PMC14649,11209066,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,694,10.1073/pnas.98.2.694,PMC14650,11209067,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,700,10.1073/pnas.021554798,PMC14651,11136237,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,705,10.1073/pnas.031446198,PMC14652,11149959,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,2,711,10.1073/pnas.011404498,PMC14653,11120882,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,717,10.1073/pnas.98.2.717,PMC14654,11209068,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,2,723,10.1073/pnas.011387598,PMC14655,11120879,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,729,10.1073/pnas.011370498,PMC14656,11136227,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,735,10.1073/pnas.011460298,PMC14657,11136228,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,741,10.1073/pnas.98.2.741,PMC14658,11209069,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,747,10.1073/pnas.021394998,PMC14659,11149945,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,753,10.1073/pnas.021551098,PMC14660,11136235,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,759,10.1073/pnas.021273498,PMC14661,11149940,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,765,10.1073/pnas.021304198,PMC14662,11149942,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,2,771,10.1073/pnas.021465298,PMC14663,11149948,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,809,10.1073/pnas.98.3.809,PMC14664,11158551,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,815,10.1073/pnas.98.3.815,PMC14665,11158552,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,820,10.1073/pnas.98.3.820,PMC14666,11158553,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,823,10.1073/pnas.98.3.823,PMC14667,11158554,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,827,10.1073/pnas.98.3.827,PMC14668,11158555,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,831,10.1073/pnas.021529998,PMC14669,11158556,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,837,10.1073/pnas.021347898,PMC14670,11158557,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,842,10.1073/pnas.031571398,PMC14671,11158558,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,848,10.1073/pnas.98.3.848,PMC14672,11158559,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,852,10.1073/pnas.98.3.852,PMC14673,11158560,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,858,10.1073/pnas.98.3.858,PMC14674,11158561,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2000,98,3,864,10.1073/pnas.98.3.864,PMC14675,11158547,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,870,10.1073/pnas.98.3.870,PMC14676,11158562,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,875,10.1073/pnas.021558098,PMC14677,11158563,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,880,10.1073/pnas.98.3.880,PMC14678,11158564,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,886,10.1073/pnas.98.3.886,PMC14679,11158565,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,892,10.1073/pnas.98.3.892,PMC14680,11158566,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,898,10.1073/pnas.031564198,PMC14681,11158567,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,903,10.1073/pnas.031442298,PMC14682,11158568,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,908,10.1073/pnas.031383098,PMC14683,11158569,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,914,10.1073/pnas.031568098,PMC14684,11158570,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,920,10.1073/pnas.021561498,PMC14685,11158571,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,926,10.1073/pnas.031314998,PMC14686,11158572,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,932,10.1073/pnas.020472198,PMC14687,11158573,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,938,10.1073/pnas.031564098,PMC14688,11158574,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,944,10.1073/pnas.98.3.944,PMC14689,11158575,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,950,10.1073/pnas.98.3.950,PMC14690,11158576,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,956,10.1073/pnas.98.3.956,PMC14691,11158577,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,962,10.1073/pnas.021560298,PMC14692,11158578,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,968,10.1073/pnas.98.3.968,PMC14693,11158579,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,974,10.1073/pnas.98.3.974,PMC14694,11158580,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,980,10.1073/pnas.031549298,PMC14695,11158581,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,986,10.1073/pnas.98.3.986,PMC14696,11158582,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,992,10.1073/pnas.98.3.992,PMC14697,11158583,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,1000,10.1073/pnas.98.3.1000,PMC14698,11158584,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,1006,10.1073/pnas.98.3.1006,PMC14699,11158585,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,1012,10.1073/pnas.031566998,PMC14700,11158586,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,1018,10.1073/pnas.98.3.1018,PMC14701,11158587,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,1024,10.1073/pnas.031564998,PMC14702,11158588,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,1030,10.1073/pnas.031586198,PMC14703,11158589,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,1036,10.1073/pnas.021282898,PMC14704,11158590,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,1042,10.1073/pnas.031562998,PMC14705,11158591,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,1047,10.1073/pnas.98.3.1047,PMC14706,11158592,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,1053,10.1073/pnas.98.3.1053,PMC14707,11158593,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,1059,10.1073/pnas.031573498,PMC14708,11158594,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,1065,10.1073/pnas.031561298,PMC14709,11158595,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,1071,10.1073/pnas.98.3.1071,PMC14710,11158596,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,1077,10.1073/pnas.031559298,PMC14711,11158597,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,1083,10.1073/pnas.031563398,PMC14712,11158598,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,1089,10.1073/pnas.98.3.1089,PMC14713,11158599,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,1095,10.1073/pnas.98.3.1095,PMC14714,11158600,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,1101,10.1073/pnas.98.3.1101,PMC14715,11158601,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,1107,10.1073/pnas.021390798,PMC14716,11158602,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,1113,10.1073/pnas.98.3.1113,PMC14717,11158603,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,1118,10.1073/pnas.98.3.1118,PMC14718,11158604,,live
Proc Natl Acad Sci U S A,0027-8424,1091-6490,2001,98,3,1124,10.1073/pnas.98.3.1124,PMC14719,11158605,,live
